dataset,metric,n_cases,delta,ci_low,ci_high
BUSI,dice,78,0.012853816,-0.0072509096,0.033991684
BUSI,iou,78,0.016281107,-0.0033216683,0.036576376
ClinicDB,dice,61,0.019227978,-0.0059539529,0.052812205
ClinicDB,iou,61,0.021729896,-0.0076049643,0.056283858
BUS-BRA,dice,282,0.0097863121,0.0025640263,0.018314094
BUS-BRA,iou,282,0.013251396,0.0045955068,0.022635035
BRISC,dice,892,0.0066531999,0.0013403939,0.012443563
BRISC,iou,892,0.0079558135,0.0031155856,0.013328052
COVID-19,dice,2113,0.02436038,0.019675328,0.02887815
COVID-19,iou,2113,0.027972173,0.02304488,0.032743187
Public-5 macro,dice,3426,0.014576337,0.0075696325,0.022902767
Public-5 macro,iou,3426,0.017438077,0.010164918,0.025540208
