dataset,scope,metric,n_cases,delta,case_first_ci_low,case_first_ci_high,seed_case_ci_low,seed_case_ci_high
BUSI,all_cases,dice,78,0.01285381624,0.002955809722,0.02345764444,-0.007250909615,0.03399168355
ClinicDB,all_cases,dice,61,0.01922797814,-0.001967618579,0.04328818429,-0.005953952869,0.05281220492
BUS-BRA,all_cases,dice,282,0.009786312057,0.004027276803,0.01639465278,0.002564026271,0.01831409388
BRISC,all_cases,dice,892,0.006653199925,0.002211057212,0.01126217215,0.001340393881,0.0124435626
COVID-19,all_cases,dice,2113,0.02436038003,0.02034666931,0.02840650599,0.01967532798,0.02887815013
Public-5 macro,all_cases,dice,3426,0.01457633728,0.009559569582,0.02000847007,0.007569632456,0.02290276749
BUSI,all_cases,iou,78,0.01628110684,0.004534790278,0.02889177137,-0.003321668269,0.03657637553
ClinicDB,all_cases,iou,61,0.02172989617,-0.003789442623,0.04759378907,-0.007604964344,0.05628385847
BUS-BRA,all_cases,iou,282,0.01325139598,0.006521854846,0.020738068,0.004595506767,0.02263503472
BRISC,all_cases,iou,892,0.007955813528,0.003868515359,0.01222710117,0.003115585566,0.01332805247
COVID-19,all_cases,iou,2113,0.02797217337,0.02406257627,0.03196480323,0.02304487959,0.03274318738
Public-5 macro,all_cases,iou,3426,0.01743807718,0.01151515135,0.02346336466,0.01016491833,0.02554020794
BUSI,nonempty_reference,dice,65,0.01542457949,0.003384660256,0.02799388051,-0.009655076923,0.04069345103
ClinicDB,nonempty_reference,dice,61,0.01922797814,-0.002507870355,0.04278520984,-0.005537563388,0.05224557295
BUS-BRA,nonempty_reference,dice,282,0.009786312057,0.004125018617,0.01630167544,0.002632449113,0.01814701599
BRISC,nonempty_reference,dice,753,0.007881347056,0.002584122654,0.01337283761,0.001300333101,0.01475521428
COVID-19,nonempty_reference,dice,2113,0.02436038003,0.02045357235,0.02843967867,0.0197244481,0.02889445812
Public-5 macro,nonempty_reference,dice,3274,0.01533611935,0.01002736945,0.02088001741,0.008043326585,0.02365134655
BUSI,nonempty_reference,iou,65,0.01953732821,0.005245943974,0.03450338256,-0.004032203333,0.04365376615
ClinicDB,nonempty_reference,iou,61,0.02172989617,-0.003436338661,0.04841191025,-0.00720665724,0.05543648811
BUS-BRA,nonempty_reference,iou,282,0.01325139598,0.006618134102,0.0205580607,0.004726997459,0.02232419832
BRISC,nonempty_reference,iou,753,0.009424416556,0.004714906275,0.01435366647,0.003549038037,0.01577434843
COVID-19,nonempty_reference,iou,2113,0.02797217337,0.02409873586,0.03196527427,0.02305835398,0.0328429328
Public-5 macro,nonempty_reference,iou,3274,0.01838304206,0.01222534463,0.02473716324,0.01063434104,0.02680130354
