run_id,method,biomedclip,atconv,equiprompt,dataset,seed,dice,iou,source
V3_ABL_BASE,Base model,No,No,No,BUSI,123,0.843359,0.778783,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BASE/medclipseg_busi/seed123/controls/true/summary.csv
V3_ABL_BASE,Base model,No,No,No,BUSI,456,0.85387,0.786527,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BASE/medclipseg_busi/seed456/controls/true/summary.csv
V3_ABL_BASE,Base model,No,No,No,BUSI,789,0.837641,0.770537,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BASE/medclipseg_busi/seed789/controls/true/summary.csv
V3_ABL_BASE,Base model,No,No,No,ClinicDB,123,0.890447,0.831576,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BASE/medclipseg_clinicdb/seed123/controls/true/summary.csv
V3_ABL_BASE,Base model,No,No,No,ClinicDB,456,0.90841,0.848938,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BASE/medclipseg_clinicdb/seed456/controls/true/summary.csv
V3_ABL_BASE,Base model,No,No,No,ClinicDB,789,0.905614,0.845193,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BASE/medclipseg_clinicdb/seed789/controls/true/summary.csv
V3_ABL_BASE,Base model,No,No,No,BUS-BRA,123,0.891207,0.81653,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BASE/medclipseg_busbra/seed123/controls/true/summary.csv
V3_ABL_BASE,Base model,No,No,No,BUS-BRA,456,0.894015,0.820701,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BASE/medclipseg_busbra/seed456/controls/true/summary.csv
V3_ABL_BASE,Base model,No,No,No,BUS-BRA,789,0.892532,0.817589,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BASE/medclipseg_busbra/seed789/controls/true/summary.csv
V3_ABL_BASE,Base model,No,No,No,BRISC,123,0.863338,0.793915,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BASE/medclipseg_brisc/seed123/controls/true/summary.csv
