dataset,metric,seed,method,no_rewrite,delta
BUSI,dice,123,0.85898854,0.85711046,0.0018780769
BUSI,dice,456,0.85279459,0.84965456,0.0031400256
BUSI,dice,789,0.86164924,0.86110653,0.00054271795
BUSI,iou,123,0.79379058,0.79584038,-0.0020498077
BUSI,iou,456,0.79333363,0.78648509,0.0068485385
BUSI,iou,789,0.79756631,0.79859406,-0.0010277564
ClinicDB,dice,123,0.9262649,0.91996089,0.0063040164
ClinicDB,dice,456,0.92324049,0.93435911,-0.011118623
ClinicDB,dice,789,0.91265005,0.91685544,-0.0042053934
ClinicDB,iou,123,0.86918905,0.86204869,0.0071403607
ClinicDB,iou,456,0.86453551,0.88106116,-0.016525656
ClinicDB,iou,789,0.857172,0.8615171,-0.0043450984
BUS-BRA,dice,123,0.90384517,0.89969478,0.0041503901
BUS-BRA,dice,456,0.90229244,0.90171971,0.0005727305
BUS-BRA,dice,789,0.90097612,0.90282048,-0.0018443617
BUS-BRA,iou,123,0.83267579,0.82828376,0.0043920284
BUS-BRA,iou,456,0.8306257,0.83056065,6.5053191e-05
BUS-BRA,iou,789,0.83127237,0.83191971,-0.00064734043
BRISC,dice,123,0.87315597,0.87688686,-0.0037308901
BRISC,dice,456,0.87197518,0.87303438,-0.0010591984
BRISC,dice,789,0.87031635,0.87393695,-0.003620602
BRISC,iou,123,0.80462794,0.80792726,-0.0032993195
BRISC,iou,456,0.8028144,0.80391602,-0.00110162
BRISC,iou,789,0.80204875,0.80584284,-0.003794093
COVID-19,dice,123,0.84010559,0.8416128,-0.0015072078
COVID-19,dice,456,0.84237476,0.8417282,0.00064656176
COVID-19,dice,789,0.84001545,0.84388463,-0.0038691813
COVID-19,iou,123,0.75449027,0.75606195,-0.0015716805
COVID-19,iou,456,0.75663816,0.75624353,0.00039463133
COVID-19,iou,789,0.75413886,0.75842199,-0.0042831325
