dataset,metric,n_cases,method_mean,method_std,no_rewrite_mean,no_rewrite_std,delta,ci_low,ci_high,wilcoxon_p,paired_t_p,wilcoxon_p_holm,paired_t_p_holm
BUSI,dice,78,0.85781079,0.0045432963,0.85595718,0.0058124343,0.0018536068,-0.0098218513,0.013119997,0.63969497,0.41001349,0.63969497,1
BUSI,iou,78,0.79489684,0.0023230914,0.79363985,0.0063473295,0.0012569915,-0.011588318,0.013969172,0.80456952,0.6648964,0.80456952,1
ClinicDB,dice,61,0.92071848,0.0071492277,0.92372515,0.0093392659,-0.0030066667,-0.016294712,0.010799228,0.061329411,0.46636498,0.18398823,1
ClinicDB,iou,61,0.86363219,0.0060592377,0.86820898,0.011133488,-0.0045767978,-0.02255601,0.013153773,0.06437631,0.36999753,0.18223573,1
BUS-BRA,dice,282,0.90237124,0.0014361454,0.90141166,0.0015854598,0.00095958629,-0.0041955957,0.0059122159,0.09200227,0.48283414,0.18400454,1
BUS-BRA,iou,282,0.83152462,0.001048064,0.83025471,0.0018371809,0.0012699137,-0.004086708,0.0066966335,0.060745242,0.44562026,0.18223573,1
BRISC,dice,892,0.87181583,0.0014264998,0.87461939,0.0020148673,-0.0028035635,-0.0063580544,0.0003351306,0.0001409076,0.015111205,0.00070453801,0.075556026
BRISC,iou,892,0.80316369,0.0013246011,0.80589537,0.002006137,-0.0027316775,-0.0060098411,0.00034504524,8.9802994e-05,0.015285523,0.00044901497,0.076427616
COVID-19,dice,2113,0.84083193,0.0013368908,0.84240854,0.0012796302,-0.0015766091,-0.0046535783,0.0014530611,0.00080138245,0.078790556,0.0032055298,0.31516222
COVID-19,iou,2113,0.7550891,0.0013529866,0.75690916,0.0013132971,-0.0018200606,-0.0052206567,0.0014754873,0.0011796512,0.073599125,0.0047186048,0.2943965
