dataset,metric,control,seed,true,control_value,delta
BUSI,dice,shuffled,123,0.85898854,0.45095867,0.40802987
BUSI,dice,shuffled,456,0.85279459,0.47490009,0.3778945
BUSI,dice,shuffled,789,0.86164924,0.47597904,0.38567021
BUSI,dice,fixed,123,0.85898854,0.16678182,0.69220672
BUSI,dice,fixed,456,0.85279459,0.16669732,0.68609727
BUSI,dice,fixed,789,0.86164924,0.16712437,0.69452487
BUSI,dice,empty,123,0.85898854,0.18735318,0.67163536
BUSI,dice,empty,456,0.85279459,0.12852709,0.7242675
BUSI,dice,empty,789,0.86164924,0.080624179,0.78102506
BUSI,iou,shuffled,123,0.79379058,0.38704109,0.40674949
BUSI,iou,shuffled,456,0.79333363,0.41620329,0.37713033
BUSI,iou,shuffled,789,0.79756631,0.40898481,0.3885815
BUSI,iou,fixed,123,0.79379058,0.16672437,0.62706621
BUSI,iou,fixed,456,0.79333363,0.16668201,0.62665162
BUSI,iou,fixed,789,0.79756631,0.16689799,0.63066832
BUSI,iou,empty,123,0.79379058,0.13832563,0.65546495
BUSI,iou,empty,456,0.79333363,0.11062733,0.68270629
BUSI,iou,empty,789,0.79756631,0.053422,0.74414431
ClinicDB,dice,shuffled,123,0.9262649,0.90671356,0.019551344
ClinicDB,dice,shuffled,456,0.92324049,0.90801015,0.015230344
ClinicDB,dice,shuffled,789,0.91265005,0.89117244,0.021477607
ClinicDB,dice,fixed,123,0.9262649,0.89806159,0.028203311
ClinicDB,dice,fixed,456,0.92324049,0.87403875,0.049201738
ClinicDB,dice,fixed,789,0.91265005,0.87718457,0.035465475
ClinicDB,dice,empty,123,0.9262649,0.74573303,0.18053187
ClinicDB,dice,empty,456,0.92324049,0.87853313,0.044707361
ClinicDB,dice,empty,789,0.91265005,0.7371638,0.17548625
ClinicDB,iou,shuffled,123,0.86918905,0.84364113,0.025547918
ClinicDB,iou,shuffled,456,0.86453551,0.84188202,0.022653492
ClinicDB,iou,shuffled,789,0.857172,0.8274018,0.029770197
ClinicDB,iou,fixed,123,0.86918905,0.83318259,0.036006459
ClinicDB,iou,fixed,456,0.86453551,0.80601185,0.058523656
ClinicDB,iou,fixed,789,0.857172,0.81007859,0.04709341
ClinicDB,iou,empty,123,0.86918905,0.66189644,0.20729261
ClinicDB,iou,empty,456,0.86453551,0.80934479,0.055190721
ClinicDB,iou,empty,789,0.857172,0.64984974,0.20732226
BUS-BRA,dice,shuffled,123,0.90384517,0.8965642,0.0072809645
BUS-BRA,dice,shuffled,456,0.90229244,0.89531512,0.0069773262
BUS-BRA,dice,shuffled,789,0.90097612,0.89216565,0.0088104716
BUS-BRA,dice,fixed,123,0.90384517,0.89097149,0.012873674
BUS-BRA,dice,fixed,456,0.90229244,0.88954915,0.012743294
BUS-BRA,dice,fixed,789,0.90097612,0.88563291,0.015343209
BUS-BRA,dice,empty,123,0.90384517,0.7194639,0.18438127
BUS-BRA,dice,empty,456,0.90229244,0.7416588,0.16063364
BUS-BRA,dice,empty,789,0.90097612,0.58560628,0.31536984
BUS-BRA,iou,shuffled,123,0.83267579,0.82330175,0.0093740426
BUS-BRA,iou,shuffled,456,0.8306257,0.82156508,0.0090606206
BUS-BRA,iou,shuffled,789,0.83127237,0.8193904,0.011881968
BUS-BRA,iou,fixed,123,0.83267579,0.81625057,0.016425223
BUS-BRA,iou,fixed,456,0.8306257,0.81495394,0.015671766
BUS-BRA,iou,fixed,789,0.83127237,0.81133544,0.019936936
BUS-BRA,iou,empty,123,0.83267579,0.57876309,0.2539127
BUS-BRA,iou,empty,456,0.8306257,0.60461067,0.22601503
BUS-BRA,iou,empty,789,0.83127237,0.43405922,0.39721315
BRISC,dice,shuffled,123,0.87315597,0.72710221,0.14605375
BRISC,dice,shuffled,456,0.87197518,0.68554472,0.18643046
BRISC,dice,shuffled,789,0.87031635,0.71402004,0.15629631
BRISC,dice,fixed,123,0.87315597,0.74790096,0.12525501
BRISC,dice,fixed,456,0.87197518,0.77487034,0.097104845
BRISC,dice,fixed,789,0.87031635,0.7365523,0.13376405
BRISC,dice,empty,123,0.87315597,0.58111116,0.2920448
BRISC,dice,empty,456,0.87197518,0.54026719,0.33170799
BRISC,dice,empty,789,0.87031635,0.64536002,0.22495632
BRISC,iou,shuffled,123,0.80462794,0.65330274,0.1513252
BRISC,iou,shuffled,456,0.8028144,0.6135348,0.1892796
BRISC,iou,shuffled,789,0.80204875,0.64290349,0.15914526
BRISC,iou,fixed,123,0.80462794,0.67881723,0.12581071
BRISC,iou,fixed,456,0.8028144,0.7064536,0.096360796
BRISC,iou,fixed,789,0.80204875,0.66850074,0.13354801
BRISC,iou,empty,123,0.80462794,0.51007688,0.29455106
BRISC,iou,empty,456,0.8028144,0.47418683,0.32862757
BRISC,iou,empty,789,0.80204875,0.57866845,0.2233803
COVID-19,dice,shuffled,123,0.84010559,0.69198039,0.1481252
COVID-19,dice,shuffled,456,0.84237476,0.69341233,0.14896244
COVID-19,dice,shuffled,789,0.84001545,0.67846279,0.16155265
COVID-19,dice,fixed,123,0.84010559,0.68614741,0.15395817
COVID-19,dice,fixed,456,0.84237476,0.68643317,0.15594159
COVID-19,dice,fixed,789,0.84001545,0.68352286,0.15649258
COVID-19,dice,empty,123,0.84010559,0.60015298,0.2399526
COVID-19,dice,empty,456,0.84237476,0.54882832,0.29354644
COVID-19,dice,empty,789,0.84001545,0.52545567,0.31455978
COVID-19,iou,shuffled,123,0.75449027,0.57921128,0.17527899
COVID-19,iou,shuffled,456,0.75663816,0.58121781,0.17542036
COVID-19,iou,shuffled,789,0.75413886,0.56377124,0.19036763
COVID-19,iou,fixed,123,0.75449027,0.58672274,0.16776753
COVID-19,iou,fixed,456,0.75663816,0.58786367,0.16877449
COVID-19,iou,fixed,789,0.75413886,0.58478531,0.16935355
COVID-19,iou,empty,123,0.75449027,0.46707914,0.28741113
COVID-19,iou,empty,456,0.75663816,0.41489355,0.34174461
COVID-19,iou,empty,789,0.75413886,0.39332315,0.36081572
