dataset,metric,control,n_cases,true_mean,true_std,control_mean,control_std,delta,ci_low,ci_high,wilcoxon_p,paired_t_p,wilcoxon_p_holm,paired_t_p_holm
BUSI,dice,shuffled,78,0.85781079,0.0045432963,0.46727926,0.014144344,0.39053153,0.29812089,0.48514659,9.8253558e-11,3.2721376e-12,2.9476067e-10,9.8164128e-12
BUSI,dice,fixed,78,0.85781079,0.0045432963,0.16686784,0.00022614687,0.69094295,0.60640194,0.76990656,3.5254981e-12,5.7716536e-27,7.0509961e-12,1.7314961e-26
BUSI,dice,empty,78,0.85781079,0.0045432963,0.13216815,0.05345758,0.72564264,0.64628607,0.79700617,2.4534677e-14,1.9246413e-42,4.9069354e-14,3.8492825e-42
BUSI,iou,shuffled,78,0.79489684,0.0023230914,0.4040764,0.015188085,0.39082044,0.30141507,0.48315361,8.5646642e-11,1.0248654e-12,2.5693993e-10,3.0745963e-12
BUSI,iou,fixed,78,0.79489684,0.0023230914,0.16676812,0.00011444177,0.62812871,0.55037633,0.70471347,3.5254981e-12,1.1913071e-25,7.0509961e-12,3.5739212e-25
BUSI,iou,empty,78,0.79489684,0.0023230914,0.10079165,0.043297944,0.69410518,0.62104986,0.7622005,2.4534677e-14,9.1027733e-40,4.9069354e-14,1.8205547e-39
ClinicDB,dice,shuffled,61,0.92071848,0.0071492277,0.90196538,0.0093694157,0.018753098,-0.00038485738,0.044580858,0.026479586,0.086082724,0.026479586,0.086082724
ClinicDB,dice,fixed,61,0.92071848,0.0071492277,0.88309497,0.013056561,0.037623508,0.011270629,0.071187538,0.00024629855,0.010817713,0.00024629855,0.010817713
ClinicDB,dice,empty,61,0.92071848,0.0071492277,0.78714332,0.079261786,0.13357516,0.048041232,0.22290407,1.8262334e-08,1.5380214e-06,1.8262334e-08,1.5380214e-06
ClinicDB,iou,shuffled,61,0.86363219,0.0060592377,0.83764165,0.0089114797,0.025990536,0.0028271201,0.055454237,0.024977608,0.0459737,0.024977608,0.0459737
ClinicDB,iou,fixed,61,0.86363219,0.0060592377,0.81642434,0.014654818,0.047207842,0.017700489,0.083497169,0.00016381051,0.004678466,0.00016381051,0.004678466
ClinicDB,iou,empty,61,0.86363219,0.0060592377,0.70703032,0.088811418,0.15660186,0.059821233,0.25839191,4.4984695e-09,2.5312182e-07,4.4984695e-09,2.5312182e-07
BUS-BRA,dice,shuffled,282,0.90237124,0.0014361454,0.89468166,0.0022666654,0.0076895875,0.0043728919,0.011866922,3.0129103e-09,2.4655051e-05,6.0258206e-09,4.9310102e-05
BUS-BRA,dice,fixed,282,0.90237124,0.0014361454,0.88871785,0.0027646709,0.013653392,0.0085908433,0.019600086,1.7327476e-12,4.6591604e-07,5.1982428e-12,9.3183208e-07
