method,modality,dataset,seeds,samples_per_seed,dice_mean,dice_std,iou_mean,iou_std,nsd_mean,nsd_std,hd95_finite_mean,hd95_finite_std,assd_finite_mean,assd_finite_std,one_empty_failure_rate_mean,one_empty_failure_rate_std
MedCLIPSeg,image+text,medclipseg_busi,3,78,0.861304667,0.010872332,0.793521667,0.011138338,0.411103000,0.006592776,32.643319000,6.091858651,10.916884333,1.667394171,0.000000000,0.000000000
MedCLIPSeg,image+text,medclipseg_clinicdb,3,61,0.919609667,0.000691275,0.856423333,0.000967939,0.585043000,0.011932947,12.247740333,1.072500237,3.397292000,0.147127460,0.000000000,0.000000000
MedCLIPSeg,image+text,medclipseg_busbra,3,282,0.884674667,0.006567757,0.804646667,0.007617062,0.455441000,0.007601041,16.130370000,1.541778061,5.093063333,0.658149019,0.000000000,0.000000000
MedCLIPSeg,image+text,medclipseg_brisc,3,892,0.813591667,0.017888847,0.724425333,0.022566719,0.488972333,0.048433112,15.252325000,0.907154300,5.818854333,0.703620065,0.008968667,0.004042378
MedCLIPSeg,image+text,medclipseg_covid19,3,2113,0.826198667,0.011914926,0.734655000,0.014846026,0.673693667,0.020850500,18.098541667,3.175415444,4.449520667,0.654471968,0.000000000,0.000000000
CausalCLIPSeg,image+text,medclipseg_busi,3,78,0.846165667,0.010661713,0.781323333,0.012713077,0.435803667,0.004980054,40.609374000,3.006676034,12.553633000,0.965583673,0.000000000,0.000000000
CausalCLIPSeg,image+text,medclipseg_clinicdb,3,61,0.911861333,0.010981483,0.851717667,0.012565514,0.642590000,0.023677430,15.776627000,1.039283374,3.836227667,0.277503235,0.000000000,0.000000000
CausalCLIPSeg,image+text,medclipseg_busbra,3,282,0.888732333,0.004856220,0.813834667,0.006382747,0.495680333,0.012709140,15.527841333,0.670474795,4.987267000,0.418359684,0.000000000,0.000000000
CausalCLIPSeg,image+text,medclipseg_brisc,3,892,0.861124667,0.003101692,0.790091667,0.005118339,0.659032000,0.014320223,14.693232667,1.457594624,4.819556000,0.320088611,0.004858000,0.007464562
CausalCLIPSeg,image+text,medclipseg_covid19,3,2113,0.818500000,0.001488623,0.729108000,0.001180126,0.682363333,0.001861953,20.021269333,0.134616079,5.500462000,0.090740880,0.000789000,0.000723065
LViT,image+text,medclipseg_busi,3,78,0.818071333,0.008887943,0.746329333,0.010185269,0.412636667,0.014480867,48.091478000,2.871382508,14.388326667,0.665291569,0.012820667,0.012820500
LViT,image+text,medclipseg_clinicdb,3,61,0.910309333,0.005344162,0.848921000,0.005797757,0.652649000,0.014848674,16.281125667,3.095057734,3.962885667,0.713146625,0.000000000,0.000000000
LViT,image+text,medclipseg_busbra,3,282,0.876602333,0.001408818,0.797534000,0.001508526,0.503973667,0.006070625,19.996823333,0.817629442,5.843799000,0.302698075,0.000000000,0.000000000
LViT,image+text,medclipseg_brisc,3,892,0.852402333,0.000597858,0.785410667,0.001084685,0.707822000,0.004476153,14.818005667,0.501324282,4.368506000,0.060802566,0.016442333,0.003424712
LViT,image+text,medclipseg_covid19,3,2113,0.785035000,0.004377000,0.690297333,0.004068802,0.657504000,0.005377508,27.134850333,0.549729570,6.963292000,0.152902204,0.006468000,0.003614670
