method,modality,dataset,seed,samples,dice_mean,iou_mean,nsd_mean,hd95_finite_mean,assd_finite_mean,one_empty_failure_rate,source
MedCLIPSeg,image+text,medclipseg_busi,123,78,0.851191,0.782502,0.410311,34.307089,11.580634,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busi/seed123/controls/true/summary.csv
MedCLIPSeg,image+text,medclipseg_busi,456,78,0.872803,0.804775,0.404942,25.892427,9.019832,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busi/seed456/controls/true/summary.csv
MedCLIPSeg,image+text,medclipseg_busi,789,78,0.859920,0.793288,0.418056,37.730441,12.150187,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busi/seed789/controls/true/summary.csv
MedCLIPSeg,image+text,medclipseg_clinicdb,123,61,0.920195,0.857473,0.586590,11.026127,3.229091,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_clinicdb/seed123/controls/true/summary.csv
MedCLIPSeg,image+text,medclipseg_clinicdb,456,61,0.918847,0.855566,0.596127,13.034622,3.460709,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_clinicdb/seed456/controls/true/summary.csv
MedCLIPSeg,image+text,medclipseg_clinicdb,789,61,0.919787,0.856231,0.572412,12.682472,3.502076,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_clinicdb/seed789/controls/true/summary.csv
MedCLIPSeg,image+text,medclipseg_busbra,123,282,0.877251,0.796106,0.446791,17.910603,5.849722,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busbra/seed123/controls/true/summary.csv
MedCLIPSeg,image+text,medclipseg_busbra,456,282,0.887044,0.807097,0.461054,15.227706,4.776060,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busbra/seed456/controls/true/summary.csv
MedCLIPSeg,image+text,medclipseg_busbra,789,282,0.889729,0.810737,0.458478,15.252801,4.653408,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busbra/seed789/controls/true/summary.csv
MedCLIPSeg,image+text,medclipseg_brisc,123,892,0.832784,0.749165,0.543773,14.327835,5.213257,0.004484,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_brisc/seed123/controls/true/summary.csv
