model,dataset,metric,seeds,mean,sample_std,seed123,seed456,seed789
unet,medclipseg_busi,dice,3,0.613075667,0.011635774,0.605843000,0.606886000,0.626498000
unet,medclipseg_busi,iou,3,0.527020667,0.015502337,0.519670000,0.516561000,0.544831000
unet,medclipseg_clinicdb,dice,3,0.856092000,0.012810546,0.841310000,0.863962000,0.863004000
unet,medclipseg_clinicdb,iou,3,0.777201333,0.013809735,0.761259000,0.785473000,0.784872000
unet,medclipseg_busbra,dice,3,0.873509333,0.001308769,0.874169000,0.874357000,0.872002000
unet,medclipseg_busbra,iou,3,0.790628667,0.001731123,0.791439000,0.791806000,0.788641000
unet,medclipseg_brisc,dice,3,0.849974333,0.001199090,0.848828000,0.851220000,0.849875000
unet,medclipseg_brisc,iou,3,0.774966333,0.000373928,0.774625000,0.774908000,0.775366000
unet,medclipseg_covid19,dice,3,0.788064000,0.000745541,0.788625000,0.788349000,0.787218000
unet,medclipseg_covid19,iou,3,0.690186667,0.001189399,0.690449000,0.691223000,0.688888000
unetplusplus,medclipseg_busi,dice,3,0.762127333,0.006689667,0.761298000,0.769193000,0.755891000
unetplusplus,medclipseg_busi,iou,3,0.694130333,0.007900239,0.692790000,0.702615000,0.686986000
unetplusplus,medclipseg_clinicdb,dice,3,0.897716000,0.006427552,0.899458000,0.903093000,0.890597000
unetplusplus,medclipseg_clinicdb,iou,3,0.832030000,0.008343230,0.833683000,0.839423000,0.822984000
unetplusplus,medclipseg_busbra,dice,3,0.885901667,0.000598744,0.886220000,0.885211000,0.886274000
unetplusplus,medclipseg_busbra,iou,3,0.811182000,0.000656310,0.811751000,0.810464000,0.811331000
unetplusplus,medclipseg_brisc,dice,3,0.859399000,0.004064339,0.857581000,0.864055000,0.856561000
unetplusplus,medclipseg_brisc,iou,3,0.789897333,0.003674464,0.789100000,0.793905000,0.786687000
unetplusplus,medclipseg_covid19,dice,3,0.800038667,0.000584717,0.799527000,0.800676000,0.799913000
unetplusplus,medclipseg_covid19,iou,3,0.705102000,0.000765279,0.704614000,0.705984000,0.704708000
nnunet,medclipseg_busi,dice,3,0.749906000,0.002306890,0.747575000,0.749955000,0.752188000
nnunet,medclipseg_busi,iou,3,0.686341333,0.002670372,0.683258000,0.687909000,0.687857000
nnunet,medclipseg_clinicdb,dice,3,0.936224333,0.003052402,0.934657000,0.939742000,0.934274000
nnunet,medclipseg_clinicdb,iou,3,0.886285667,0.002875367,0.884329000,0.889587000,0.884941000
nnunet,medclipseg_busbra,dice,3,0.898030333,0.004414293,0.899039000,0.901853000,0.893199000
nnunet,medclipseg_busbra,iou,3,0.828980667,0.004819599,0.829781000,0.833350000,0.823811000
nnunet,medclipseg_brisc,dice,3,0.872950000,0.003535059,0.869045000,0.875932000,0.873873000
nnunet,medclipseg_brisc,iou,3,0.813115667,0.004268901,0.808462000,0.816850000,0.814035000
nnunet,medclipseg_covid19,dice,3,0.790652000,0.001369946,0.789104000,0.791144000,0.791708000
nnunet,medclipseg_covid19,iou,3,0.696671000,0.002425387,0.693871000,0.698121000,0.698021000
umamba,medclipseg_busi,dice,3,0.766323667,0.008018684,0.757393000,0.768672000,0.772906000
umamba,medclipseg_busi,iou,3,0.701592000,0.005500418,0.695256000,0.704378000,0.705142000
umamba,medclipseg_clinicdb,dice,3,0.922086000,0.001585184,0.923883000,0.920886000,0.921489000
umamba,medclipseg_clinicdb,iou,3,0.871227667,0.003304543,0.874736000,0.868174000,0.870773000
umamba,medclipseg_busbra,dice,3,0.903404333,0.004590107,0.898584000,0.907723000,0.903906000
umamba,medclipseg_busbra,iou,3,0.835776333,0.004742202,0.831146000,0.840623000,0.835560000
umamba,medclipseg_brisc,dice,3,0.853710667,0.005795001,0.858495000,0.847267000,0.855370000
umamba,medclipseg_brisc,iou,3,0.791645000,0.006638563,0.797512000,0.784439000,0.792984000
umamba,medclipseg_covid19,dice,3,0.790756667,0.003129394,0.790535000,0.787744000,0.793991000
umamba,medclipseg_covid19,iou,3,0.696832667,0.004232977,0.695833000,0.693189000,0.701476000
ukan,medclipseg_busi,dice,3,0.770963667,0.033281024,0.809338000,0.749992000,0.753561000
ukan,medclipseg_busi,iou,3,0.703751667,0.033735297,0.742602000,0.681865000,0.686788000
ukan,medclipseg_clinicdb,dice,3,0.913958333,0.003400152,0.917095000,0.910345000,0.914435000
ukan,medclipseg_clinicdb,iou,3,0.853100333,0.003303784,0.855736000,0.849394000,0.854171000
ukan,medclipseg_busbra,dice,3,0.885575667,0.007477724,0.884354000,0.878784000,0.893589000
ukan,medclipseg_busbra,iou,3,0.811885667,0.008117294,0.811070000,0.804207000,0.820380000
ukan,medclipseg_brisc,dice,3,0.854542000,0.003182038,0.850875000,0.856175000,0.856576000
ukan,medclipseg_brisc,iou,3,0.783250333,0.003528306,0.779248000,0.785911000,0.784592000
ukan,medclipseg_covid19,dice,3,0.793816333,0.002104858,0.792762000,0.796240000,0.792447000
ukan,medclipseg_covid19,iou,3,0.699106000,0.002992153,0.696381000,0.702308000,0.698629000
