model,dataset,seed,dice,iou,samples,source
unet,medclipseg_busi,123,0.605843000,0.519670000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busi/seed123/controls/true/summary.csv
unet,medclipseg_busi,456,0.606886000,0.516561000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busi/seed456/controls/true/summary.csv
unet,medclipseg_busi,789,0.626498000,0.544831000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busi/seed789/controls/true/summary.csv
unet,medclipseg_clinicdb,123,0.841310000,0.761259000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_clinicdb/seed123/controls/true/summary.csv
unet,medclipseg_clinicdb,456,0.863962000,0.785473000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_clinicdb/seed456/controls/true/summary.csv
unet,medclipseg_clinicdb,789,0.863004000,0.784872000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_clinicdb/seed789/controls/true/summary.csv
unet,medclipseg_busbra,123,0.874169000,0.791439000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busbra/seed123/controls/true/summary.csv
unet,medclipseg_busbra,456,0.874357000,0.791806000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busbra/seed456/controls/true/summary.csv
unet,medclipseg_busbra,789,0.872002000,0.788641000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busbra/seed789/controls/true/summary.csv
unet,medclipseg_brisc,123,0.848828000,0.774625000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_brisc/seed123/controls/true/summary.csv
unet,medclipseg_brisc,456,0.851220000,0.774908000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_brisc/seed456/controls/true/summary.csv
unet,medclipseg_brisc,789,0.849875000,0.775366000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_brisc/seed789/controls/true/summary.csv
unet,medclipseg_covid19,123,0.788625000,0.690449000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_covid19/seed123/controls/true/summary.csv
unet,medclipseg_covid19,456,0.788349000,0.691223000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_covid19/seed456/controls/true/summary.csv
unet,medclipseg_covid19,789,0.787218000,0.688888000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_covid19/seed789/controls/true/summary.csv
unetplusplus,medclipseg_busi,123,0.761298000,0.692790000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busi/seed123/controls/true/summary.csv
unetplusplus,medclipseg_busi,456,0.769193000,0.702615000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busi/seed456/controls/true/summary.csv
unetplusplus,medclipseg_busi,789,0.755891000,0.686986000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busi/seed789/controls/true/summary.csv
unetplusplus,medclipseg_clinicdb,123,0.899458000,0.833683000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_clinicdb/seed123/controls/true/summary.csv
unetplusplus,medclipseg_clinicdb,456,0.903093000,0.839423000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_clinicdb/seed456/controls/true/summary.csv
unetplusplus,medclipseg_clinicdb,789,0.890597000,0.822984000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_clinicdb/seed789/controls/true/summary.csv
unetplusplus,medclipseg_busbra,123,0.886220000,0.811751000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busbra/seed123/controls/true/summary.csv
unetplusplus,medclipseg_busbra,456,0.885211000,0.810464000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busbra/seed456/controls/true/summary.csv
unetplusplus,medclipseg_busbra,789,0.886274000,0.811331000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busbra/seed789/controls/true/summary.csv
unetplusplus,medclipseg_brisc,123,0.857581000,0.789100000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_brisc/seed123/controls/true/summary.csv
unetplusplus,medclipseg_brisc,456,0.864055000,0.793905000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_brisc/seed456/controls/true/summary.csv
unetplusplus,medclipseg_brisc,789,0.856561000,0.786687000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_brisc/seed789/controls/true/summary.csv
unetplusplus,medclipseg_covid19,123,0.799527000,0.704614000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_covid19/seed123/controls/true/summary.csv
unetplusplus,medclipseg_covid19,456,0.800676000,0.705984000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_covid19/seed456/controls/true/summary.csv
unetplusplus,medclipseg_covid19,789,0.799913000,0.704708000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_covid19/seed789/controls/true/summary.csv
nnunet,medclipseg_busi,123,0.747575000,0.683258000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busi/seed123/controls/true/summary.csv
nnunet,medclipseg_busi,456,0.749955000,0.687909000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busi/seed456/controls/true/summary.csv
nnunet,medclipseg_busi,789,0.752188000,0.687857000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busi/seed789/controls/true/summary.csv
nnunet,medclipseg_clinicdb,123,0.934657000,0.884329000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_clinicdb/seed123/controls/true/summary.csv
nnunet,medclipseg_clinicdb,456,0.939742000,0.889587000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_clinicdb/seed456/controls/true/summary.csv
nnunet,medclipseg_clinicdb,789,0.934274000,0.884941000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_clinicdb/seed789/controls/true/summary.csv
nnunet,medclipseg_busbra,123,0.899039000,0.829781000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busbra/seed123/controls/true/summary.csv
nnunet,medclipseg_busbra,456,0.901853000,0.833350000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busbra/seed456/controls/true/summary.csv
nnunet,medclipseg_busbra,789,0.893199000,0.823811000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busbra/seed789/controls/true/summary.csv
nnunet,medclipseg_brisc,123,0.869045000,0.808462000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_brisc/seed123/controls/true/summary.csv
nnunet,medclipseg_brisc,456,0.875932000,0.816850000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_brisc/seed456/controls/true/summary.csv
nnunet,medclipseg_brisc,789,0.873873000,0.814035000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_brisc/seed789/controls/true/summary.csv
