method,modality,dataset,seeds,test_n,nonempty_n,empty_n,overall_dice_mean,overall_dice_std,nonempty_dice_mean,nonempty_dice_std,nonempty_iou_mean,nonempty_iou_std,nonempty_empty_prediction_rate_mean,nonempty_empty_prediction_rate_std,empty_specificity_mean,empty_specificity_std,empty_false_positive_rate_mean,empty_false_positive_rate_std
MedCLIPSeg,image+text,medclipseg_busi,3,78,65,13,0.861304654,0.010872331,0.833565585,0.013046797,0.752225821,0.013365947,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
MedCLIPSeg,image+text,medclipseg_clinicdb,3,61,61,0,0.919609579,0.000691623,0.919609579,0.000691623,0.856423432,0.000967733,0.000000000,0.000000000,,,,
MedCLIPSeg,image+text,medclipseg_busbra,3,282,282,0,0.884674669,0.006567982,0.884674669,0.006567982,0.804646467,0.007617104,0.000000000,0.000000000,,,,
MedCLIPSeg,image+text,medclipseg_brisc,3,892,753,139,0.813592033,0.017888876,0.779182062,0.021191072,0.673555717,0.026732907,0.010624170,0.004788249,1.000000000,0.000000000,0.000000000,0.000000000
MedCLIPSeg,image+text,medclipseg_covid19,3,2113,2113,0,0.826199012,0.011914962,0.826199012,0.011914962,0.734655146,0.014846006,0.000000000,0.000000000,,,,
CausalCLIPSeg,image+text,medclipseg_busi,3,78,65,13,0.846165675,0.010661382,0.815398810,0.012793659,0.737587985,0.015255828,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
CausalCLIPSeg,image+text,medclipseg_clinicdb,3,61,61,0,0.911861339,0.010981672,0.911861339,0.010981672,0.851717650,0.012565257,0.000000000,0.000000000,,,,
CausalCLIPSeg,image+text,medclipseg_busbra,3,282,282,0,0.888732236,0.004856352,0.888732236,0.004856352,0.813834475,0.006382619,0.000000000,0.000000000,,,,
CausalCLIPSeg,image+text,medclipseg_brisc,3,892,753,139,0.861124714,0.003101854,0.835489037,0.003674440,0.751344085,0.006063162,0.005754759,0.008842401,1.000000000,0.000000000,0.000000000,0.000000000
CausalCLIPSeg,image+text,medclipseg_covid19,3,2113,2113,0,0.818500149,0.001488603,0.818500149,0.001488603,0.729107958,0.001180419,0.000788768,0.000722918,,,,
LViT,image+text,medclipseg_busi,3,78,65,13,0.818071286,0.008888093,0.791941954,0.006539722,0.705851605,0.006868921,0.005128205,0.008882312,0.948717949,0.044411559,0.051282051,0.044411559
LViT,image+text,medclipseg_clinicdb,3,61,61,0,0.910309301,0.005344185,0.910309301,0.005344185,0.848920749,0.005797676,0.000000000,0.000000000,,,,
LViT,image+text,medclipseg_busbra,3,282,282,0,0.876602571,0.001408652,0.876602571,0.001408652,0.797533973,0.001508464,0.000000000,0.000000000,,,,
LViT,image+text,medclipseg_brisc,3,892,753,139,0.852402275,0.000597637,0.830025892,0.002574553,0.750667907,0.002328566,0.014608234,0.001328021,0.973621103,0.014976014,0.026378897,0.014976014
LViT,image+text,medclipseg_covid19,3,2113,2113,0,0.785035262,0.004377054,0.785035262,0.004377054,0.690297548,0.004068684,0.006467897,0.003614589,,,,
MedEquiSeg,image+text,medclipseg_busi,3,78,65,13,0.857810791,0.004543296,0.829372949,0.005451956,0.753876205,0.002787710,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
MedEquiSeg,image+text,medclipseg_clinicdb,3,61,61,0,0.920718481,0.007149228,0.920718481,0.007149228,0.863632186,0.006059238,0.000000000,0.000000000,,,,
MedEquiSeg,image+text,medclipseg_busbra,3,282,282,0,0.902371243,0.001436145,0.902371243,0.001436145,0.831524622,0.001048064,0.000000000,0.000000000,,,,
MedEquiSeg,image+text,medclipseg_brisc,3,892,753,139,0.871815831,0.001426500,0.848153681,0.001689824,0.766828706,0.001569116,0.004426737,0.002028586,1.000000000,0.000000000,0.000000000,0.000000000
MedEquiSeg,image+text,medclipseg_covid19,3,2113,2113,0,0.840831933,0.001336891,0.840831933,0.001336891,0.755089097,0.001352987,0.000631014,0.000273237,,,,
RollingUNet,image-only,medclipseg_busi,3,78,65,13,0.723581205,0.011958792,0.755476933,0.009545786,0.667937313,0.006112543,0.000000000,0.000000000,0.564102564,0.117501941,0.435897436,0.117501941
RollingUNet,image-only,medclipseg_clinicdb,3,61,61,0,0.873090945,0.007670839,0.873090945,0.007670839,0.801218098,0.009109141,0.010928962,0.009464759,,,,
RollingUNet,image-only,medclipseg_busbra,3,282,282,0,0.880042012,0.004546175,0.880042012,0.004546175,0.802641232,0.005614107,0.001182033,0.002047341,,,,
