method,modality,dataset,seed,test_n,nonempty_n,empty_n,overall_dice,nonempty_dice,nonempty_iou,empty_specificity,empty_false_positive_rate,nonempty_empty_prediction_rate,source
MedCLIPSeg,image+text,medclipseg_busi,123,78,65,13,0.851191217948718,0.8214294615384615,0.7390023538461539,1.0,0.0,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busi/seed123/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_busi,456,78,65,13,0.872803141025641,0.8473637692307693,0.7657298307692307,1.0,0.0,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busi/seed456/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_busi,789,78,65,13,0.8599196025641026,0.8319035230769231,0.7519452769230769,1.0,0.0,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busi/seed789/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_clinicdb,123,61,61,0,0.9201951967213114,0.9201951967213114,0.8574729344262295,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_clinicdb/seed123/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_clinicdb,456,61,61,0,0.9188465245901639,0.9188465245901639,0.855566393442623,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_clinicdb/seed456/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_clinicdb,789,61,61,0,0.9197870163934426,0.9197870163934426,0.8562309672131148,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_clinicdb/seed789/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_busbra,123,282,282,0,0.8772507304964539,0.8772507304964539,0.7961057517730497,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busbra/seed123/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_busbra,456,282,282,0,0.8870441631205673,0.8870441631205673,0.8070968226950355,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busbra/seed456/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_busbra,789,282,282,0,0.8897291134751774,0.8897291134751774,0.8107368262411347,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_busbra/seed789/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_brisc,123,892,753,139,0.8327844551569507,0.8019173094289509,0.7028626932270916,1.0,0.0,0.005312084993359893,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_brisc/seed123/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_brisc,456,892,753,139,0.797381437219731,0.7599790730411686,0.6505073386454183,1.0,0.0,0.014608233731739707,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_brisc/seed456/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_brisc,789,892,753,139,0.8106102051569507,0.7756498047808765,0.6672971181938911,1.0,0.0,0.01195219123505976,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_brisc/seed789/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_covid19,123,2113,2113,0,0.8274944027449125,0.8274944027449125,0.7367239001419782,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_covid19/seed123/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_covid19,456,2113,2113,0,0.8374133473734028,0.8374133473734028,0.7483582749645055,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_covid19/seed456/controls/true/per_case.csv
MedCLIPSeg,image+text,medclipseg_covid19,789,2113,2113,0,0.8136892849029815,0.8136892849029815,0.7188832626597255,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_MEDCLIPSEG_OFFICIAL/medclipseg_covid19/seed789/controls/true/per_case.csv
MedCLIPSeg,image+text,busi_hf,123,102,102,0,0.8666310784313725,0.8666310784313725,0.7826053431372549,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_MEDCLIPSEG_OFFICIAL/busi_hf/seed123/controls/true/per_case.csv
MedCLIPSeg,image+text,busi_hf,456,102,102,0,0.8556839019607844,0.8556839019607844,0.7691138725490196,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_MEDCLIPSEG_OFFICIAL/busi_hf/seed456/controls/true/per_case.csv
MedCLIPSeg,image+text,busi_hf,789,102,102,0,0.854387725490196,0.854387725490196,0.7688000784313725,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_MEDCLIPSEG_OFFICIAL/busi_hf/seed789/controls/true/per_case.csv
CausalCLIPSeg,image+text,medclipseg_busi,123,78,65,13,0.853304076923077,0.8239648923076923,0.7465171692307693,1.0,0.0,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_busi/seed123/controls/true/per_case.csv
CausalCLIPSeg,image+text,medclipseg_busi,456,78,65,13,0.8339104230769231,0.8006925076923077,0.7199726307692308,1.0,0.0,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_busi/seed456/controls/true/per_case.csv
CausalCLIPSeg,image+text,medclipseg_busi,789,78,65,13,0.8512825256410257,0.8215390307692307,0.7462741538461538,1.0,0.0,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_busi/seed789/controls/true/per_case.csv
CausalCLIPSeg,image+text,medclipseg_clinicdb,123,61,61,0,0.901527,0.901527,0.8432398852459017,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_clinicdb/seed123/controls/true/per_case.csv
CausalCLIPSeg,image+text,medclipseg_clinicdb,456,61,61,0,0.9233923278688525,0.9233923278688525,0.8661536557377049,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_clinicdb/seed456/controls/true/per_case.csv
