analysis_scope,scope,dataset,metric,n_cases,n_seeds,delta_true_minus_control,ci_low,ci_high,wilcoxon_p,paired_t_p,wilcoxon_p_holm,paired_t_p_holm
all_cases,dataset,medclipseg_busi,dice,78,3,0.05908005128205128,0.02618690833333334,0.09862688888888888,0.012664101681594795,0.002254421706538185,0.03799230504478439,0.00901768682615274
all_cases,dataset,medclipseg_clinicdb,dice,61,3,0.03365259562841532,0.005421618579234995,0.06959632500000004,0.07084525559396572,0.04893418705206382,0.14169051118793144,0.09786837410412765
all_cases,dataset,medclipseg_busbra,dice,282,3,0.0007638900709219863,-0.0009666548463357042,0.0025778378250591047,0.311234344392899,0.39711051456351326,0.311234344392899,0.39711051456351326
all_cases,dataset,medclipseg_brisc,dice,892,3,0.003706202914798203,0.0012609028120328803,0.006518170861360236,0.002873131188054971,0.005199474262420077,0.011492524752219884,0.01559842278726023
all_cases,dataset,medclipseg_covid19,dice,2113,3,0.18449699053478466,0.1768139856996372,0.1921565303991166,4.914514942124409e-300,0.0,2.4572574710622047e-299,0.0
all_cases,dataset_macro,Public-5,dice,3426,3,0.05633994608619428,0.04707845181396785,0.06672940691249273,,,,
all_cases,dataset,medclipseg_busi,iou,78,3,0.06199929914529914,0.02675547756410255,0.10265423814102562,0.014922123847950356,0.0021617954275061383,0.04476637154385107,0.006485386282518415
all_cases,dataset,medclipseg_clinicdb,iou,61,3,0.04242461748633878,0.010249615983606535,0.08289031393442622,0.0654192988004815,0.02782130334204686,0.130838597600963,0.05564260668409372
all_cases,dataset,medclipseg_busbra,iou,282,3,0.0008582907801418497,-0.001081279934988166,0.002864763120567375,0.32916736904364996,0.3946089725985655,0.32916736904364996,0.3946089725985655
all_cases,dataset,medclipseg_brisc,iou,892,3,0.0036257436472346754,0.0015345864349775743,0.006000412901718978,0.003158094281916574,0.0014581489454346425,0.012632377127666296,0.00583259578173857
all_cases,dataset,medclipseg_covid19,iou,2113,3,0.21617377709417887,0.2083377299337435,0.2241575094809907,7.746323497742817e-305,0.0,3.8731617488714085e-304,0.0
all_cases,dataset_macro,Public-5,iou,3426,3,0.06501634563063866,0.054920812670019144,0.07650609801532217,,,,
