analysis_scope,scope,dataset,metric,n_cases,n_seeds,delta_true_minus_control,ci_low,ci_high,wilcoxon_p,paired_t_p,wilcoxon_p_holm,paired_t_p_holm
text_changed,dataset,medclipseg_busi,dice,65,3,0.07089606153846154,0.03179607589743589,0.1165983233333333,0.012664101681594795,0.002153518212909884,0.03799230504478439,0.008614072851639535
text_changed,dataset,medclipseg_clinicdb,dice,61,3,0.03365259562841532,0.005590257650273233,0.06992148346994538,0.07084525559396572,0.04893418705206382,0.14169051118793144,0.09786837410412765
text_changed,dataset,medclipseg_busbra,dice,282,3,0.0007638900709219863,-0.0010154616430260107,0.0025603744976359444,0.311234344392899,0.39711051456351326,0.311234344392899,0.39711051456351326
text_changed,dataset,medclipseg_brisc,dice,892,3,0.003706202914798203,0.0013074954409566495,0.006554784417040352,0.002873131188054971,0.005199474262420077,0.011492524752219884,0.01559842278726023
text_changed,dataset,medclipseg_covid19,dice,2113,3,0.18449699053478466,0.17706485582899512,0.19209101394541725,4.914514942124409e-300,0.0,2.4572574710622047e-299,0.0
text_changed,dataset_macro,Public-5,dice,3413,3,0.058703148137476346,0.048650936479613,0.07025945768722446,,,,
text_changed,dataset,medclipseg_busi,iou,65,3,0.07439915897435896,0.03255483448717948,0.12145813935897433,0.014922123847950356,0.0020631218354192006,0.04476637154385107,0.006189365506257602
text_changed,dataset,medclipseg_clinicdb,iou,61,3,0.04242461748633878,0.010058233333333317,0.08350579849726776,0.0654192988004815,0.02782130334204686,0.130838597600963,0.05564260668409372
text_changed,dataset,medclipseg_busbra,iou,282,3,0.0008582907801418497,-0.0010924955378250566,0.0028108266252955135,0.32916736904364996,0.3946089725985655,0.32916736904364996,0.3946089725985655
text_changed,dataset,medclipseg_brisc,iou,892,3,0.0036257436472346754,0.0015432044189088172,0.005931521935724955,0.003158094281916574,0.0014581489454346425,0.012632377127666296,0.00583259578173857
text_changed,dataset,medclipseg_covid19,iou,2113,3,0.21617377709417887,0.20819144103565232,0.22404537115870016,7.746323497742817e-305,0.0,3.8731617488714085e-304,0.0
text_changed,dataset_macro,Public-5,iou,3413,3,0.06749631759645063,0.05636702667771947,0.07953529312669015,,,,
