dataset,seed,control,n_cases,dice_mean,iou_mean,checkpoint_sha256
medclipseg_busi,123,true,78,0.8589885384615383,0.7937905769230769,df18874b8e55782401046a79e70be6b118e1f104310e0a0618534cc3ffb10e8d
medclipseg_busi,123,stratified_derangement,78,0.7880946025641026,0.7197238205128205,df18874b8e55782401046a79e70be6b118e1f104310e0a0618534cc3ffb10e8d
medclipseg_busi,456,true,78,0.8527945897435897,0.7933336282051281,14ea92a0880fa3db5505f0fea80694ee852f5249698a77627f14bff20b87caa8
medclipseg_busi,456,stratified_derangement,78,0.7989787564102563,0.7363324102564103,14ea92a0880fa3db5505f0fea80694ee852f5249698a77627f14bff20b87caa8
medclipseg_busi,789,true,78,0.8616492435897438,0.7975663076923077,b8b0753ab30f383314f5160ef7dc404c75eb05789307aa60da153b71826ea869
medclipseg_busi,789,stratified_derangement,78,0.8091188589743589,0.7426363846153846,b8b0753ab30f383314f5160ef7dc404c75eb05789307aa60da153b71826ea869
medclipseg_clinicdb,123,true,61,0.9262649016393444,0.8691890491803278,63750d8e115d7eee66a4c73cef85ccdb32e241b2cc53790d6545675914e6e391
medclipseg_clinicdb,123,stratified_derangement,61,0.883564,0.8173464098360654,63750d8e115d7eee66a4c73cef85ccdb32e241b2cc53790d6545675914e6e391
medclipseg_clinicdb,456,true,61,0.9232404918032788,0.8645355081967214,436723ced35184bbbb0b66fd4107636a6eca8c5477ed934fc38d99b2e7cd8ca1
medclipseg_clinicdb,456,stratified_derangement,61,0.8908863442622953,0.8262263934426228,436723ced35184bbbb0b66fd4107636a6eca8c5477ed934fc38d99b2e7cd8ca1
medclipseg_clinicdb,789,true,61,0.9126500491803279,0.857172,9c4bdfa2c8f1f90590ffddeb918e7ed8afc2c5d74400408c8b9faee5466ef07d
medclipseg_clinicdb,789,stratified_derangement,61,0.8867473114754097,0.8200499016393443,9c4bdfa2c8f1f90590ffddeb918e7ed8afc2c5d74400408c8b9faee5466ef07d
medclipseg_busbra,123,true,282,0.9038451666666667,0.8326757907801419,6a30a3f58abbffebd0ac1fe62daeb17dec944fcab7bd39e7d616d11b724e0ad1
medclipseg_busbra,123,stratified_derangement,282,0.9030380921985816,0.8317224822695035,6a30a3f58abbffebd0ac1fe62daeb17dec944fcab7bd39e7d616d11b724e0ad1
medclipseg_busbra,456,true,282,0.9022924432624114,0.8306257021276595,34dd00879fc97140beb2261431021e692683a6f350171210c735287ae5c8a736
medclipseg_busbra,456,stratified_derangement,282,0.9009676134751773,0.8292696063829788,34dd00879fc97140beb2261431021e692683a6f350171210c735287ae5c8a736
medclipseg_busbra,789,true,282,0.9009761205673759,0.8312723723404256,7b15866e90800e81284d2c529ddd964ab8a2b8ec94f147fc19f5a6464f33bbd1
medclipseg_busbra,789,stratified_derangement,282,0.9008163546099291,0.8310069042553192,7b15866e90800e81284d2c529ddd964ab8a2b8ec94f147fc19f5a6464f33bbd1
medclipseg_brisc,123,true,892,0.8731559652466369,0.8046279405829596,e83e5ee8892dc7694488d01b0fb7440ab8291b7a320b45867debb4dd15ec6761
medclipseg_brisc,123,stratified_derangement,892,0.8700105213004484,0.8008035403587445,e83e5ee8892dc7694488d01b0fb7440ab8291b7a320b45867debb4dd15ec6761
medclipseg_brisc,456,true,892,0.8719751816143498,0.8028143979820628,5f6adbdc4d04b351d1520881529292011da7cb8283fd48d4bde75a611dd4e98a
medclipseg_brisc,456,stratified_derangement,892,0.8696141827354259,0.8005281401345291,5f6adbdc4d04b351d1520881529292011da7cb8283fd48d4bde75a611dd4e98a
medclipseg_brisc,789,true,892,0.8703163475336323,0.802048745515695,c043b62c14983bf9c511b7a051e94fe4246aa09af272428a63b24c506d08d855
medclipseg_brisc,789,stratified_derangement,892,0.8647041816143497,0.79728217264574,c043b62c14983bf9c511b7a051e94fe4246aa09af272428a63b24c506d08d855
medclipseg_covid19,123,true,2113,0.8401055873166114,0.7544902673923333,140115db56db62d4cb25b4b6a4624b8e65196c39a050fdcf2d204f421039bb7f
medclipseg_covid19,123,stratified_derangement,2113,0.664755247515381,0.5486283024136299,140115db56db62d4cb25b4b6a4624b8e65196c39a050fdcf2d204f421039bb7f
medclipseg_covid19,456,true,2113,0.8423747638428775,0.7566381618551823,0a2597f68a91a6bd0dbe7a3f9a04e8a20cba56d294dc74970bc8ea4d197b26d6
medclipseg_covid19,456,stratified_derangement,2113,0.6603924893516327,0.5442797647893989,0a2597f68a91a6bd0dbe7a3f9a04e8a20cba56d294dc74970bc8ea4d197b26d6
medclipseg_covid19,789,true,2113,0.8400154472314245,0.7541388618078562,53a7bffa25b3ddde381983d3df62d616ea8f63355cd7b5ea6e80a0ad1302d68e
medclipseg_covid19,789,stratified_derangement,2113,0.6438570899195457,0.523837892569806,53a7bffa25b3ddde381983d3df62d616ea8f63355cd7b5ea6e80a0ad1302d68e
