dataset,presence_stratum,class_stratum,n_cases,n_text_changed,dice_delta_true_minus_control,ci_low,ci_high
medclipseg_busi,absent,normal,13,0,0.0,0.0,0.0
medclipseg_busi,present,benign,44,44,0.06052202272727272,0.01565768825757577,0.1161295445075757
medclipseg_busi,present,malignant,21,21,0.09263214285714287,0.022549827777777812,0.180326740079365
medclipseg_clinicdb,present,polyp,61,61,0.03365259562841532,0.0060337025956284426,0.06915392937158471
medclipseg_busbra,present,benign,191,191,0.0008635148342059342,-0.00021530449389179596,0.0020348486038394365
medclipseg_busbra,present,malignant,91,91,0.0005547875457875462,-0.004302049450549451,0.005689108424908442
medclipseg_brisc,absent,no_tumor,139,139,0.0,0.0,0.0
medclipseg_brisc,present,glioma,253,253,0.011832699604743084,0.0037771662714097516,0.02102516976284585
medclipseg_brisc,present,meningioma,205,205,0.0014604292682926857,-0.0005159370325203252,0.003953756585365851
medclipseg_brisc,present,pituitary,295,295,4.363389830507231e-05,-0.0010230269209039642,0.001108659887005639
medclipseg_covid19,present,infection,2113,2113,0.18449699053478466,0.17685371434768893,0.19215834009307461
